@relation 'House Price India-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute id numeric
@attribute 'number of bathrooms' numeric
@attribute 'living area' numeric
@attribute 'number of views' numeric
@attribute 'grade of the house' numeric
@attribute 'Area of the house(excluding basement)' numeric
@attribute 'Area of the basement' numeric
@attribute 'Renovation Year' numeric
@attribute living_area_renov numeric
@attribute Price numeric

@data
6762810145,2.5,3650,4,10,3370,280,0,2880,2380000
6762810635,2.5,2920,0,8,1910,1010,0,2470,1400000
6762810998,2.75,2910,0,8,2910,0,0,2940,1200000
6762812605,2.5,3310,0,9,3310,0,0,3350,838000
6762812919,2,2710,0,8,1880,830,0,2060,805000
6762813105,2.5,2600,0,9,1700,900,0,2380,790000
6762813157,3.25,3660,2,10,3660,0,0,3320,785000
6762813599,1.75,2240,0,8,1550,690,0,1570,750000
6762813600,2.5,2390,2,8,1440,950,0,2010,750000
6762814461,2.25,2200,0,7,1300,900,0,2320,698000
6762814787,2.5,2820,0,8,2820,0,0,2820,675000
6762815225,2,1820,1,7,1640,180,0,2060,650000
6762815461,2,1520,0,7,1520,0,0,1910,640000
6762815654,2.75,2710,0,9,2710,0,0,2390,630000
6762815737,2.25,1750,0,9,1470,280,0,2410,626000
6762815748,2.5,2820,0,9,2820,0,0,1300,625000
6762815749,3.25,2730,0,9,1560,1170,0,2730,625000
6762815986,1.75,2360,0,8,1360,1000,0,1860,615000
6762816059,2.5,2730,0,9,2730,0,0,2730,612500
6762816236,2.5,3240,2,10,3240,0,0,4050,604000
6762816633,1.75,2330,0,8,1970,360,0,2570,588500
6762817449,2.5,3310,0,8,3310,0,0,2380,555000
6762817570,2.5,1940,0,7,1140,800,0,2200,550000
6762817571,1.75,2910,0,8,2910,0,0,2590,550000
6762819227,2.5,2860,0,8,2190,670,0,2860,499950
6762819342,1.75,1600,0,8,1130,470,0,1090,495000
6762819448,1.75,2190,2,9,2190,0,0,3000,491500
6762819463,1,880,0,7,880,0,1994,1340,490000
6762819732,2.5,2710,0,9,2710,0,0,2780,482000
6762820114,2.5,2210,0,8,1460,750,0,2080,470000
6762820382,1.75,1710,0,7,1710,0,0,2260,463000
6762820510,2.5,2680,0,8,2680,0,0,2990,459990
6762820718,2.5,2430,0,7,1570,860,0,1560,452500
6762821047,2.5,1270,0,8,1270,0,0,1320,445700
6762821205,2.25,2160,0,8,1080,1080,0,1850,440000
6762821206,1,800,0,7,800,0,0,1150,440000
6762821318,2.5,1770,0,8,1770,0,0,1770,439950
6762821390,2.25,1970,0,9,1970,0,0,2340,437500
6762821424,2.5,1770,0,8,1600,170,0,1680,436110
6762821444,1,1450,0,7,1450,0,0,1260,435000
6762821632,1.5,1920,0,7,1070,850,0,1450,430000
6762822054,2.25,2000,0,8,1000,1000,0,2070,420000
6762822175,1.5,1570,0,7,1570,0,0,1570,419000
6762822578,2.5,1930,0,8,1930,0,0,2290,407500
6762822721,2,1960,2,8,1650,310,0,1960,403000
6762822791,2.5,3630,0,9,2300,1330,0,2830,400000
6762823455,3.25,1320,0,8,1040,280,0,1440,385000
6762823582,1.75,1560,0,7,1560,0,0,2080,382500
6762824201,3,3110,0,8,3110,0,0,2820,367500
6762824245,1,1090,0,7,1090,0,0,1340,365000
6762825272,2,1930,0,8,1930,0,0,2200,342000
6762825549,2,1350,0,8,1350,0,0,1790,335000
6762825550,2.25,1580,0,7,1580,0,0,1450,335000
6762826461,1,1160,0,7,1160,0,0,1160,315000
6762826606,1.5,1340,0,7,1340,0,0,1480,313000
6762826811,1,850,0,7,850,0,0,1100,308500
6762827056,2.5,2540,0,7,2540,0,0,2280,300000
6762827347,2.5,1630,0,7,1280,350,0,1590,295000
6762827693,3,1850,0,7,1090,760,0,1410,287200
6762827749,2.5,2200,0,8,2200,0,0,2310,285000
6762827750,2.5,2090,0,8,1360,730,0,1750,285000
6762827836,1.75,1800,0,7,1800,0,0,1410,284000
6762828162,1.5,1180,0,6,1180,0,0,1680,275000
6762828790,2,1480,0,7,1480,0,0,2130,260000
6762828945,1.75,1370,0,7,1370,0,0,1400,257950
6762829578,1.5,1200,0,7,1200,0,0,1380,242500
6762829789,1,1210,0,6,1210,0,0,1580,235000
6762815750,2.75,2920,0,8,2920,0,0,3030,625000
6762817521,1,900,0,7,900,0,0,1280,553000
6762823736,2.5,1650,0,7,1130,520,0,1940,379880
6762826674,1,1010,0,6,1010,0,0,1390,310000
6762813188,2.5,2850,0,10,1990,860,0,2280,783500
6762813282,2.5,2680,0,9,2680,0,0,2315,775000
6762815716,2,2280,0,7,1140,1140,0,2240,628000
6762824246,2.5,2200,0,8,1570,630,0,2350,365000
6762825730,2.5,2530,2,8,2010,520,0,2140,331950
6762810164,8,13540,4,12,9410,4130,0,4850,2280000
6762810615,2.5,2220,0,9,2220,0,0,1870,1430000
6762810636,3.5,4010,1,9,2850,1160,0,2610,1400000
6762811248,2.5,4340,0,11,4340,0,0,2720,1090000
6762811411,2.75,3190,3,9,1690,1500,0,3100,1030000
6762812053,1,1330,0,7,1330,0,1954,1340,900000
6762812148,4.25,4420,0,10,3410,1010,0,4420,890000
6762812149,3.5,4490,0,10,3200,1290,0,4530,890000
6762812331,3,3690,0,10,3690,0,0,3430,865000
6762812415,2.75,2600,0,8,1300,1300,0,2550,855000
6762812659,3,2170,0,9,1610,560,2011,1670,831000
6762812664,2.5,3400,0,9,3400,0,0,3070,830000
6762812761,1.75,2920,0,9,2780,140,0,2020,823000
6762812961,2.5,3180,0,10,3180,0,0,3180,800866
6762812963,2.5,3240,0,10,3240,0,0,2970,800000
6762813152,1.75,1330,0,8,1330,0,0,1690,787000
6762813210,2.5,2730,2,9,2730,0,0,2750,780000
6762813361,2,2350,0,8,1810,540,0,2170,770000
6762813551,2.5,2120,0,7,1620,500,0,1570,755000
6762813766,1.75,2010,0,7,2010,0,0,2010,740000
6762813838,2.5,3180,3,9,3180,0,0,3715,736500
6762814206,2.5,2450,0,8,2450,0,0,2970,712198
6762814291,2.5,2490,0,9,2490,0,0,2130,705380
6762814896,2.5,1680,0,9,1680,0,1998,1950,670000
6762814966,2.5,2800,0,8,1660,1140,0,2580,665000
6762815131,1,1390,0,7,1050,340,0,1810,657100
6762815226,1.5,2160,2,8,1400,760,0,3010,650000
6762815643,2.5,2440,0,9,2440,0,0,1350,631625
6762815727,2.25,1990,0,8,1210,780,0,1720,627000
6762815880,1.75,1480,0,9,1480,0,0,1480,620000
6762815955,2,1800,0,7,1080,720,0,1800,618500
6762815987,1.75,2300,0,9,1960,340,0,2840,615000
6762816274,1.75,1670,0,8,1670,0,1992,2330,600000
6762816275,1.75,1880,0,7,1040,840,0,1770,600000
6762816667,1,1770,0,6,1520,250,0,1060,585000
6762816779,1,2540,0,8,1320,1220,0,2160,580000
6762817053,2.25,2010,0,8,1330,680,0,2080,570000
6762817314,2.5,1900,0,8,1900,0,0,2030,560000
6762817450,2.5,1940,0,8,1940,0,0,1880,555000
6762817755,1,1140,0,7,1140,0,0,1520,549000
6762817756,2.5,2910,0,8,2910,0,0,2500,549000
6762817929,2.75,2740,0,8,1370,1370,0,2020,541125
6762818230,3,1270,0,8,1110,160,0,1290,531000
6762818400,1.75,2550,0,7,1810,740,0,2170,525888
6762818543,1.75,1560,0,6,780,780,0,1470,524000
6762818924,2.5,1790,0,8,1790,0,0,1890,509900
6762819061,1,2070,0,7,1160,910,0,1730,501000
6762819262,2.5,2910,0,7,2910,0,0,2320,499000
6762819312,2.75,3200,2,8,1600,1600,0,2220,497300
6762819594,1.75,2010,0,7,1470,540,0,1840,487585
6762819620,3,2340,0,8,1340,1000,0,1440,485000
6762819874,2.5,3040,0,9,3040,0,0,2670,478000
6762820970,2,1480,0,7,1480,0,0,1480,449250
6762821445,2,1840,0,7,1540,300,1958,1200,435000
6762822174,2.5,1590,0,8,1590,0,0,1590,419190
6762822204,2,1410,0,7,1410,0,0,1410,418000
6762822246,2.5,1408,0,8,1408,0,0,1408,416286
